munid,signal_type,discovered_date,trigger_keyword,category,snippet,ai_summary,ai_confidence,evidence_url
ADMASTON BROMLEY TP,scanner_hit,2026-04-27,Backyard Chickens,CHICKENS,...noise abatement measures have been undertaken to ensure that noise levels at the boundary of the residential zone do not create a nuisance for uses in that abutting residential zone. 3.4 Backyard Chickens / Urban Agriculture 3.4.1 The keeping of backyard chickens shall be permitted as an accessor,,0,https://admastonbromley.com/wp-content/uploads/2025/12/2026-01-05-Resume-Planning-Committee-Agenda-Complete-Agenda-Reduced.pdf
BANCROFT TP,scanner_hit,2026-04-27,Line Fences Act,FENCES,"...visits Fence-viewers Remuneration $ 100.00 per hour N Ontario Land Surveyor Deposit As per estimate N Ontario Land Surveyor Fee As per invoice N Legal Fees As per invoice N Appeal to Referee As per Line Fences Act N “The following fees are subject to HST, unless stated otherwise”. SCHEDULE OF FEE",,0,https://www.bancroft.ca/UserFiles/Servers/Server_12235685/Image/Business/Clerk/2025-83 SCHEDULE OF FEES (002).pdf
BLANDFORD BLENHEIM TP,scanner_hit,2026-04-27,Development Charges Background Study,DC,"TOWNSHIP OF BLANDFORD-BLENHEIM COUNCIL MEETING AGENDA Wednesday, April 15, 2026 at 04:00 PM Watch via Live Stream on Township’s YouTube here 1. Welcome 2. Call to Order 3. Approval of the Agenda Recommendation: That the Agenda for April 15, 2026 Regular Meeting of Council be adopted as printed, and ",,0,https://pub-blandfordblenheim.escribemeetings.com/FileStream.ashx?DocumentId=1186
BONFIELD TP,scanner_hit,2026-04-27,Comprehensive Zoning Bylaw,DC,"...one committee member; and also, another committee member having recently declared a conflict of interest on matters associated with the ongoing review of the proposed replacement Official Plan and Comprehensive Zoning Bylaw. In effect, these circumstances reduce the number of persons (and votes) ",,0,http://events.bonfieldtownship.com/FileManager/Township%20of%20Bonfield/6311d0ad-786e-4d96-abd8-b427015270f5/Content/Full Agenda 2026.04.14.pdf
BRUDENELL LYNDOCH AND RAGLAN TP,scanner_hit,2026-04-27,Backyard Chickens,CHICKENS,"...as an accessory building in the Rural, Commercial or Industrial zones (only RU, Comm or Ind), subject to specific location and screening requirements. [Section 3.2.9] v. New general provisions for backyard chickens. The keeping of chicken are permitted as an accessory use to a dwelling unit. The ",,0,https://blrtownship.ca/wp-content/uploads/2026/04/April-9th-2026-Special-Meeting.pdf
CHATHAM KENT M,scanner_hit,2026-04-27,Bill 185,DC,"...Planning Statement (information report) 1. May 27-24 Proposed 2024 Provincial Planning Statement (PPS).pdf 2. Appendix A; WOWC ERO Posting 019-8462.pdf c. Proposed Planning Act Amendments under Bill 185, Cutting Red Tape to Build More Homes Act, 2024 (information report) 1. May 27-24 Planning Act",,0,https://pub-chatham-kent.escribemeetings.com/Meeting.aspx?Id=83633a45-4153-4ff4-a28d-d5a6014c5f63&Agenda=Agenda&lang=English
CRAMAHE TP,scanner_hit,2026-04-27,More Homes Built Faster Act,DC,"...when available. 2. Proposed Changes to the Parkland Dedication Framework 2.1 Proposed Changes to the Planning Act 2.1.1 Legislative Amendments Type of Land Eligible for Dedication In 2022, Bill 23 (More Homes Built Faster Act) introduced amendments to section 42 of the Planning Act that would pro",,0,https://pub-cramahe.escribemeetings.com/FileStream.ashx?DocumentId=33025
GEORGIAN BAY TP,scanner_hit,2026-04-27,Development Charges Background Study,DC,"...replacement of the Mrs. C playground and staff are engaging the community with a preferred playground design. Council also approved dog parks for MacTier, Port Severn, and Honey Harbour under the development charges background study. Analysis and Options Staff learned on September 12, 2025, that ",,0,https://georgianbay.civicweb.net/document/238947
JAMES TP,scanner_hit,2026-04-27,More Homes Built Faster Act,DC,"...07-24: Selection of candidate to serve on Northeastern Public Health Unit Board of Health. 7. New Business: 1. Robert Manseau, Circular Carbon: Requesting support for a feasibility study. 2. MMAH: ‘More Homes Built Faster Act, 2022’ information. 3. OCWA: Proposed 2025 Water Treatment Plant Budget",,0,https://elklake.ca/vertical/sites/%7B698232A1-8BB9-4776-8A5C-60DC366E3EE9%7D/uploads/Dec11-24_Agenda.pdf
OAKVILLE TP,scanner_hit,2026-04-27,Community Benefits Charge,DC,"...from $475.0 million to $490.2 million as current year capital needs are less than the actual capital inflow. Collections from the Town’s growth funding tools (GFTs) of Development Charges, Community Benefits Charges, and Cash-in-lieu of Parkland are lower than anticipated, primarily due to slower",,0,https://pub-oakville.escribemeetings.com/FileStream.ashx?DocumentId=97282
MELANCTHON TP,scanner_hit,2026-04-13,Development Charges Background Study,DC,nan,"The municipality included an ""Addendum to 2024 Development Charges Background Study"" on its July 18, 2024, Hybrid Meeting Agenda. This signifies Council's active engagement with an update or revision to the foundational document used for establishing development charges within the municipality.",100,https://melancthontownship.ca/council/council-agendas-minutes/
