municipality_name,portal_type,doc_url,doc_text,doc_type,fetch_date
ADDINGTON HIGHLANDS,civicweb,https://addingtonhighlands.civicweb.net/filepro/documents/5341,"Quick Menu
Sort





Home
Minutes
Name Modified Size
Minutes
22 Nov 2018 173.6 MB
Favorites
Addington Highlands Public Library Board
22 Apr 20251.3 MB
Working Group - Waste Management/Waste Diversion
29 Jan 2025257.3 KB
Kaladar Barrie Joint Fire Committee
14 Jan 2025174.1 KB
Working Group - Roads Policy
12 Apr 202372.4 KB
Working Group - Camping on Public Land
15 Apr 2021407.4 KB
AHEAD Committee
06 Feb 201917.0 MB
Budget
06 Feb 20192.2 MB
Committee of Adjustment
30 Nov 20187.5 MB
Properties and Recreation
29 Nov 20181.7 MB
Special
22 Nov 201811.8 MB
Minutes Attachments
18 Sep 201853.7 MB
Regular Meeting
02 Nov 201877.3 MB
© iCompass - A Diligent Brand 2026",html,2026-04-24
ADDINGTON HIGHLANDS,civicweb,https://addingtonhighlands.civicweb.net/filepro/documents/?preview=6964,"Quick Menu
Close
Open Full Pdf New Window
11-01-18 Special Meeting Minutes
COVER PREVIEW
Click to Open Full PDF
Sort





Home
Name Modified Size
Home
Favorites
Kaladar Barrie Joint Fire Committee
05 Jan 2022822.5 KB
Minutes
22 Nov 2018173.6 MB
Agendas
20 Apr 20166.0 GB
Bylaws
20 Apr 2016813.1 MB
Policies
03 Mar 20223.4 MB
Planning Department
03 Mar 202265.8 MB
Finance Department
03 Mar 202225.7 MB
Frequently Requested By-laws
03 Mar 202211.4 MB
Building Department
03 Mar 20223.8 MB
Roads Department
03 Mar 20223.3 MB
Waste Department
03 Mar 20222.6 MB
Emergency Services
17 Mar 20221.2 MB
Notices
12 Apr 20224.1 MB
2022 Municipal Election
03 Jun 202238.4 MB
Council
08 Jul 2022185.7 KB
© iCompass - A Diligent Brand 2026",html,2026-04-24
ADDINGTON HIGHLANDS,civicweb,https://addingtonhighlands.civicweb.net/filepro/documents/?preview=6960,"Quick Menu
Close
Open Full Pdf New Window
Special - 01 Nov 2018 - Minutes (1)
COVER PREVIEW
Click to Open Full PDF
Sort





Home
Name Modified Size
Home
Favorites
Kaladar Barrie Joint Fire Committee
05 Jan 2022822.5 KB
Minutes
22 Nov 2018173.6 MB
Agendas
20 Apr 20166.0 GB
Bylaws
20 Apr 2016813.1 MB
Policies
03 Mar 20223.4 MB
Planning Department
03 Mar 202265.8 MB
Finance Department
03 Mar 202225.7 MB
Frequently Requested By-laws
03 Mar 202211.4 MB
Building Department
03 Mar 20223.8 MB
Roads Department
03 Mar 20223.3 MB
Waste Department
03 Mar 20222.6 MB
Emergency Services
17 Mar 20221.2 MB
Notices
12 Apr 20224.1 MB
2022 Municipal Election
03 Jun 202238.4 MB
Council
08 Jul 2022185.7 KB
© iCompass - A Diligent Brand 2026",html,2026-04-24
ADELAIDE METCALFE,escribe,https://pub-adelaidemetcalfe.escribemeetings.com/,"Skip to content







Calendar View
April 2026
Calendar
List
Conflicts Registry
April 7, 2026
Tuesday
7:00pm - 8:00pm Regular Council Meeting
April 20, 2026
Monday
7:00pm - 8:00pm Regular Council Meeting",html_listing,2026-04-24
ADJALA TOSORONTIO,civicweb,https://adjala-tosorontio.civicweb.net/Portal/MeetingInformation.aspx?Org=Cal&id=694,"Quick Menu
Home  »  Meeting Schedule  »  Meeting Information
Welcome to Township of Adjala-Tosorontio
Home
Calendar
Meetings
Search
Share
Regular Council
Regular Council meetings are held on the second Wednesday of each month, with Closed Session starting at 5:30 p.m. when required, and Open Session starting at 6:30 p.m. Meetings are held as hybrid meetings to allow for in person and electronic participation. Residents may attend the meeting in person in Council Chambers at the Township's Municipal Centre or watch the live stream.
  Members of the Public wishing to submit Public Comments can do so in writing to the Clerk no later than 12:00 pm (noon) on the day of the meeting. Members of the Public may request their comments to be read by the Clerk or present their comments orally. Only Public Comments related to an item on the agenda listed under Reports, Correspondence and By-laws will be considered.
Members
08 Apr 2026
Regular Council
11 Mar 2026
Regular Council
18 Feb 2026
Regular Council
14 Jan 2026
Amended to Update Items 14.4 and 16.3 - Regular Council
10 Dec 2025
Regular Council
12 Nov 2025
Regular Council
Regular Council - 08 Apr 2026
Time: 05:30 PM
Location: Council Chamber
Agenda
Video
Print Version
Agenda Agenda Package
Splitscreen
Schedule of Meetings
April 2026
Sun Mon Tue Wed Thu Fri Sat
29 30 31 1 2 3 4
5 6 7 8 9 10 11
12 13 14 15 16 17 18
19 20 21 22 23 24 25
26 27 28 29 30 1 2
3 4 5 6 7 8 9
Connect To Us
Facebook
Twitter
Today's Meetings
No Meetings Today
Upcoming Meetings
Community Development and Event Committee - 27 Apr 2026
Council Correspondence Agenda - 29 Apr 2026
Cemetery Board - 05 May 2026
Regular Council - 13 May 2026
Committee of Adjustment - 20 May 2026
Council Correspondence Agenda - 27 May 2026
Regular Council - 10 Jun 2026
Committee of Adjustment - 17 Jun 2026
Council Correspondence Agenda - 24 Jun 2026
Regular Council - 08 Jul 2026
Committee of Adjustment - 15 Jul 2026
Council Correspondence Agenda - 29 Jul 2026
Regular Council - 12 Aug 2026
More
Recent Meetings
CANCELLED - Committee of Adjustment - 15 Apr 2026
Regular Council - 08 Apr 2026
Council Correspondence Agenda - 25 Mar 2026
Community Development and Event Committee - 23 Mar 2026
Committee of Adjustment - 18 Mar 2026
Regular Council - 11 Mar 2026
Amended to Update Item 4.2 - Special Council - 04 Mar 2026
Council Correspondence Agenda - 25 Feb 2026
CANCELLED - Committee of Adjustment - 19 Feb 2026
Regular Council - 18 Feb 2026
Council Correspondence Agenda - 28 Jan 2026
More
Members
Scott W. Anderson
Julius Lachs
Anub Simson
Bob Meadows
Ronald O'Leary
Miklos Borsos
Adam Cox
© iCompass - A Diligent Brand 2026",html,2026-04-24
ADJALA TOSORONTIO,civicweb,https://adjala-tosorontio.civicweb.net/Portal/MeetingInformation.aspx?Org=Cal&id=693,"Quick Menu
Home  »  Meeting Schedule  »  Meeting Information
Welcome to Township of Adjala-Tosorontio
Home
Calendar
Meetings
Search
Share
Council Correspondence Agenda
On July 12, 2023 the Council of the Township of Adjala-Tosorontio enacted a Policy for the handling and distribution of correspondence received by the Clerk - known as the Correspondence Policy. 
 The Correspondence Agenda is published on the last Wednesday of each month, and will include a descriptive title, brief summary and any attachments for each item of correspondence. 
25 Mar 2026
Council Correspondence Agenda
25 Feb 2026
Council Correspondence Agenda
28 Jan 2026
Council Correspondence Agenda
19 Dec 2025
Council Correspondence Agenda
26 Nov 2025
Council Correspondence Agenda
29 Oct 2025
Council Correspondence Agenda
Council Correspondence Agenda - 25 Mar 2026
Time: 12:00 AM
Location: Township of Adjala-Tosorontio
Agenda
Print Version
Agenda Agenda Package
Splitscreen
Schedule of Meetings
April 2026
Sun Mon Tue Wed Thu Fri Sat
29 30 31 1 2 3 4
5 6 7 8 9 10 11
12 13 14 15 16 17 18
19 20 21 22 23 24 25
26 27 28 29 30 1 2
3 4 5 6 7 8 9
Connect To Us
Facebook
Twitter
Today's Meetings
No Meetings Today
Upcoming Meetings
Community Development and Event Committee - 27 Apr 2026
Council Correspondence Agenda - 29 Apr 2026
Cemetery Board - 05 May 2026
Regular Council - 13 May 2026
Committee of Adjustment - 20 May 2026
Council Correspondence Agenda - 27 May 2026
Regular Council - 10 Jun 2026
Committee of Adjustment - 17 Jun 2026
Council Correspondence Agenda - 24 Jun 2026
Regular Council - 08 Jul 2026
Committee of Adjustment - 15 Jul 2026
Council Correspondence Agenda - 29 Jul 2026
Regular Council - 12 Aug 2026
More
Recent Meetings
CANCELLED - Committee of Adjustment - 15 Apr 2026
Regular Council - 08 Apr 2026
Council Correspondence Agenda - 25 Mar 2026
Community Development and Event Committee - 23 Mar 2026
Committee of Adjustment - 18 Mar 2026
Regular Council - 11 Mar 2026
Amended to Update Item 4.2 - Special Council - 04 Mar 2026
Council Correspondence Agenda - 25 Feb 2026
CANCELLED - Committee of Adjustment - 19 Feb 2026
Regular Council - 18 Feb 2026
Council Correspondence Agenda - 28 Jan 2026
More
© iCompass - A Diligent Brand 2026",html,2026-04-24
ADJALA TOSORONTIO,civicweb,https://adjala-tosorontio.civicweb.net/Portal/MeetingInformation.aspx?Org=Cal&id=692,"Quick Menu
Home  »  Meeting Schedule  »  Meeting Information
Welcome to Township of Adjala-Tosorontio
Home
Calendar
Meetings
Search
Share
Regular Council
Regular Council meetings are held on the second Wednesday of each month, with Closed Session starting at 5:30 p.m. when required, and Open Session starting at 6:30 p.m. Meetings are held as hybrid meetings to allow for in person and electronic participation. Residents may attend the meeting in person in Council Chambers at the Township's Municipal Centre or watch the live stream.
  Members of the Public wishing to submit Public Comments can do so in writing to the Clerk no later than 12:00 pm (noon) on the day of the meeting. Members of the Public may request their comments to be read by the Clerk or present their comments orally. Only Public Comments related to an item on the agenda listed under Reports, Correspondence and By-laws will be considered.
Members
08 Apr 2026
Regular Council
11 Mar 2026
Regular Council
18 Feb 2026
Regular Council
14 Jan 2026
Amended to Update Items 14.4 and 16.3 - Regular Council
10 Dec 2025
Regular Council
12 Nov 2025
Regular Council
Regular Council - 11 Mar 2026
Time: 06:30 PM
Location: Council Chamber
Agenda
Video
Minutes
Print Version
Agenda Agenda Package
Splitscreen
Schedule of Meetings
April 2026
Sun Mon Tue Wed Thu Fri Sat
29 30 31 1 2 3 4
5 6 7 8 9 10 11
12 13 14 15 16 17 18
19 20 21 22 23 24 25
26 27 28 29 30 1 2
3 4 5 6 7 8 9
Connect To Us
Facebook
Twitter
Today's Meetings
No Meetings Today
Upcoming Meetings
Community Development and Event Committee - 27 Apr 2026
Council Correspondence Agenda - 29 Apr 2026
Cemetery Board - 05 May 2026
Regular Council - 13 May 2026
Committee of Adjustment - 20 May 2026
Council Correspondence Agenda - 27 May 2026
Regular Council - 10 Jun 2026
Committee of Adjustment - 17 Jun 2026
Council Correspondence Agenda - 24 Jun 2026
Regular Council - 08 Jul 2026
Committee of Adjustment - 15 Jul 2026
Council Correspondence Agenda - 29 Jul 2026
Regular Council - 12 Aug 2026
More
Recent Meetings
CANCELLED - Committee of Adjustment - 15 Apr 2026
Regular Council - 08 Apr 2026
Council Correspondence Agenda - 25 Mar 2026
Community Development and Event Committee - 23 Mar 2026
Committee of Adjustment - 18 Mar 2026
Regular Council - 11 Mar 2026
Amended to Update Item 4.2 - Special Council - 04 Mar 2026
Council Correspondence Agenda - 25 Feb 2026
CANCELLED - Committee of Adjustment - 19 Feb 2026
Regular Council - 18 Feb 2026
Council Correspondence Agenda - 28 Jan 2026
More
Members
Scott W. Anderson
Julius Lachs
Anub Simson
Bob Meadows
Ronald O'Leary
Miklos Borsos
Adam Cox
© iCompass - A Diligent Brand 2026",html,2026-04-24
ALFRED AND PLANTAGENET,escribe,https://pub-alfred-plantagenet.escribemeetings.com:443/meetingscalendarview.aspx?Expanded=COMMITTEE+OF+THE+WHOLE,"Skip to content







Upcoming Meetings
List
Upcoming
Past
There are no upcoming meetings
Past Meetings
                                                
                                                        
                                                         All (103)
                                                    
                                                         2026 (8)
                                                    
                                                         2025 (31)
                                                    
                                                         2024 (32)
                                                    
                                                         2023 (32)
                                                    
                                                    
                                             CLOSED MEETING  (1)
COMMITTEE OF THE WHOLE  (2)
COMMITTEE OF THE WHOLE
Tuesday, April 21, 2026 @ 4:30 PM
TOWN HALL CONFERENCE ROOM
Agenda Cover PagePDF
AgendaHTMLPDF
Ordre du jourHTML
Video
COMMITTEE OF THE WHOLE
Tuesday, March 24, 2026 @ 4:30 PM
TOWN HALL CONFERENCE ROOM
Agenda Cover PagePDF
AgendaHTMLPDF
Ordre du jourHTML
Video
REGULAR MEETING  (4)
SPECIAL CLOSED MEETING  (1)",html,2026-04-24
ALFRED AND PLANTAGENET,escribe,https://pub-alfred-plantagenet.escribemeetings.com:443/meetingscalendarview.aspx?Expanded=REGULAR+MEETING,"Skip to content







Upcoming Meetings
List
Upcoming
Past
There are no upcoming meetings
Past Meetings
                                                
                                                        
                                                         All (103)
                                                    
                                                         2026 (8)
                                                    
                                                         2025 (31)
                                                    
                                                         2024 (32)
                                                    
                                                         2023 (32)
                                                    
                                                    
                                             CLOSED MEETING  (1)
COMMITTEE OF THE WHOLE  (2)
REGULAR MEETING  (4)
REGULAR MEETING
Tuesday, April 07, 2026 @ 4:30 PM
TOWN HALL CONFERENCE ROOM
Agenda Cover PagePDF
AgendaHTMLPDF
Ordre du jourHTML
Video
REGULAR MEETING
Tuesday, March 10, 2026 @ 4:30 PM
TOWN HALL CONFERENCE ROOM
Agenda Cover PagePDF
AgendaHTMLPDF
Ordre du jourHTML
Video
REGULAR MEETING
Tuesday, February 03, 2026 @ 4:30 PM
TOWN HALL CONFERENCE ROOM
Agenda Cover PagePDF
AgendaHTMLPDF
Ordre du jourHTML
Video
REGULAR MEETING
Tuesday, January 13, 2026 @ 4:30 PM
TOWN HALL CONFERENCE ROOM
AgendaHTMLPDF
Ordre du jourHTML
Video
SPECIAL CLOSED MEETING  (1)",html,2026-04-24
ALGONQUIN HIGHLANDS,civicweb,https://www.algonquinhighlands.ca/media/yaeoxiyt/2020-03_sewage_system_permit_application_package-acc.pdf,"Township of Algonquin Highlands Instructions for an
Building Department
1123 North Shore Road App l i c a t i o n fo r a Sewage
Algonquin Highlands, Ontario, K0M 1S0
Tel.: (705) 489-2379 Fax: (705) 489-3491 S y s t e m P e r m i t
Website: www.algonquinhighlands.ca
This Package Contains:
1. Ontario Building Code Application for a Permit to Construct or Demolish including Schedule 1
and Schedule 2
2. Proposed Sewage System Design & Calculation Sheet
3. Profile of a typical filter bed to be completed
4. Proposed Design Site Plan
5. As Constructed plan to be completed prior to final inspection
All forms provided in this package must be completed and returned to Building Department along with
the following required documentation:
1. A Site Plan referencing an up to date survey, when available, or a drawing of the lot, neatly and
accurately drawn, which shall indicate:
a) the dimensions of the lot (length, width);
b) the location and size of the proposed buildings & all existing buildings;
c) location of existing well(s), septic, easements (hydro, right of way etc.) & driveways;
d) the setbacks of proposed building(s) or addition(s) from all lot lines, road(s) and other
buildings, and the high-water mark;
e) indicate any survey stakes that have been located;
f) the location and setbacks of the proposed septic tank, leaching bed and any pump chamber;
g) the loading area and 15m mantle;
h) eaves trough discharge;
i) topographical features including slope and direction of flow.
2. Any proposal for the use of a Class 4 treatment unit, other than a septic tanks, will require a
copy of the B.M.E.C. approval for that system, and once completed will require submission of as
constructed drawings and any maintenance agreement.
3. If the applicant is not the owner of the property, or there is more than one property owner, the
owner(s) must provide a letter appointing the applicant as an authorized agent.
4. The required fees must accompany the application in accordance with the Township of
Algonquin Highlands Fees and Charges By-law.
Note: Incomplete applications will not be accepted or reviewed and
may be returned to the owner.
Application for a Permit to Construct or Demolish
This form is authorized under subsection 8(1.1) of the Building Code Act,1992
For use by Principal Authority
Application number: Permit number (if different):
Date received: Roll number:
Application submitted to:
(Name of municipality, upper-tier municipality, board of health or conservation authority)
A. Project information
Building number, street name Unit number Lot/con.
Municipality Postal code Plan number/other description
Project value est. $ Area of work (m2)
B. Purpose of application
Addition to an Conditional
New construction Alteration/repair Demolition
existing building Permit
Proposed use of building Current use of building
Description of proposed work
C. Applicant Applicant is: Owner or Authorized agent of owner
Last name First name Corporation or partnership
Street address Unit number Lot/con.
Municipality Postal code Province E-mail
Telephone number Fax Cell number
D. Owner (if different from applicant)
Last name First name Corporation or partnership
Street address Unit number Lot/con.
Municipality Postal code Province E-mail
Telephone number Fax Cell number
Application for a Permit to Construct or Demolish – Effective January 1, 2014 Page 1 of 4
E. Builder (optional)
Last name First name Corporation or partnership (if applicable)
Street address Unit number Lot/con.
Municipality Postal code Province E-mail
Telephone number Fax Cell number
F. Tarion Warranty Corporation (Ontario New Home Warranty Program)
i. Is proposed construction for a new home as defined in the Ontario New Home Warranties Yes No
Plan Act? If no, go to section G.
ii. Is registration required under the Ontario New Home Warranties Plan Act? Yes No
iii. If yes to (ii) provide registration number(s):
G. Required Schedules
i) Attach Schedule 1 for each individual who reviews and takes responsibility for design activities.
ii) Attach Schedule 2 where application is to construct on-site, install or repair a sewage system.
H. Completeness and compliance with applicable law
i) This application meets all the requirements of clauses 1.3.1.3 (5) (a) to (d) of Division C of the Yes No
Building Code (the application is made in the correct form and by the owner or authorized agent, all
applicable fields have been completed on the application and required schedules, and all required
schedules are submitted).
Payment has been made of all fees that are required, under the applicable by-law, resolution or
Yes No
regulation made under clause 7(1)(c) of the Building Code Act, 1992, to be paid when the
application is made.
ii) This application is accompanied by the plans and specifications prescribed by the applicable by-law, Yes No
resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992.
iii) This application is accompanied by the information and documents prescribed by the applicable by- Yes No
law, resolution or regulation made under clause 7(1)(b) of the Building Code Act, 1992 which enable
the chief building official to determine whether the proposed building, construction or demolition will
contravene any applicable law.
iv) The proposed building, construction or demolition will not contravene any applicable law. Yes No
I. Declaration of applicant
I declare that:
(print name)
1. The information contained in this application, attached schedules, attached plans and specifications, and other attached
documentation is true to the best of my knowledge.
2. If the owner is a corporation or partnership, I have the authority to bind the corporation or partnership.
Date Signature of applicant
Personal information contained in this form and schedules is collected under the authority of subsection 8(1.1) of the Building Code Act, 1992, and will be
used in the administration and enforcement of the Building Code Act, 1992. Questions about the collection of personal information may be addressed to: a)
the Chief Building Official of the municipality or upper-tier municipality to which this application is being made, or, b) the inspector having the powers and
duties of a chief building official in relation to sewage systems or plumbing for an upper-tier municipality, board of health or conservation authority to whom
this application is made, or, c) Director, Building and Development Branch, Ministry of Municipal Affairs and Housing 777 Bay St., 2nd Floor. Toronto, M5G
2E5 (416) 585-6666.
Application for a Permit to Construct or Demolish – Effective January 1, 2014 Page 2 of 4
Schedule 1: Designer Information
Use one form for each individual who reviews and takes responsibility for design activities with respect to the project.
A. Project Information
Building number, street name Unit no. Lot/con.
Municipality Postal code Plan number/ other description
B. Individual who reviews and takes responsibility for design activities
Name Firm
Street address Unit no. Lot/con.
Municipality Postal code Province E-mail
Telephone number Fax number Cell number
C. Design activities undertaken by individual identified in Section B. [Building Code Table 3.5.2.1. of
Division C]
House HVAC – House Building Structural
Small Buildings Building Services Plumbing – House
Large Buildings Detection, Lighting and Power Plumbing – All Buildings
Complex Buildings Fire Protection On-site Sewage Systems
Description of designer’s work
D. Declaration of Designer
I declare that (choose one as appropriate):
(print name)
I review and take responsibility for the design work on behalf of a firm registered under subsection 3.2.4.of Division
C, of the Building Code. I am qualified, and the firm is registered, in the appropriate classes/categories.
Individual BCIN: __________________________________________
Firm BCIN: __________________________________________
I review and take responsibility for the design and am qualified in the appropriate category as an “other designer”
under subsection 3.2.5.of Division C, of the Building Code.
Individual BCIN: __________________________________________
Basis for exemption from registration: ________________________________________________________
The design work is exempt from the registration and qualification requirements of the Building Code.
Basis for exemption from registration and qualification: ___________________________________________
I certify that:
1. The information contained in this schedule is true to the best of my knowledge.
2. I have submitted this application with the knowledge and consent of the firm.
Date Signature of Designer
NOTE:
1. For the purposes of this form, “individual” means the “person” referred to in Clause 3.2.4.7(1) (c).of Division C, Article 3.2.5.1. of
Division C, and all other persons who are exempt from qualification under Subsections 3.2.4. and 3.2.5. of Division C.
2. Schedule 1 is not required to be completed by a holder of a license, temporary license, or a certificate of practice, issued by the Ontario
Association of Architects. Schedule 1 is also not required to be completed by a holder of a license to practise, a limited license to practise,
or a certificate of authorization, issued by the Association of Professional Engineers of Ontario.
Application for a Permit to Construct or Demolish – Effective January 1, 2014 Page 3 of 4
Schedule 2: Sewage System Installer Information
A. Project Information
Building number, street name Unit number Lot/con.
Municipality Postal code Plan number/ other description
B. Sewage system installer
Is the installer of the sewage system engaged in the business of constructing on-site, installing, repairing, servicing, cleaning or
emptying sewage systems, in accordance with Building Code Article 3.3.1.1, Division C?
Installer unknown at time of
Yes (Continue to Section C) No (Continue to Section E)
application (Continue to Section E)
C. Registered installer information (where answer to B is “Yes”)
Name BCIN
Street address Unit number Lot/con.
Municipality Postal code Province E-mail
Telephone number Fax Cell number
D. Qualified supervisor information (where answer to section B is “Yes”)
Name of qualified supervisor(s) Building Code Identification Number (BCIN)
E. Declaration of Applicant:
I declare that:
(print name)
I am the applicant for the permit to construct the sewage system. If the installer is unknown at time of application, I shall
submit a new Schedule 2 prior to construction when the installer is known;
OR
I am the holder of the permit to construct the sewage system, and am submitting a new Schedule 2, now that the installer is
known.
I certify that:
1. The information contained in this schedule is true to the best of my knowledge.
2. If the owner is a corporation or partnership, I have the authority to bind the corporation or partnership.
Date Signature of applicant
Application for a Permit to Construct or Demolish – Effective January 1, 2014 Page 4 of 4
Proposed Sewage System Design
Class of 2 or 3 4 5 Install Yes No
Test Hole Ready:
System: Repair
Water Supply: Soil Conditions:
Est. Perc Rate ______min/cm
 Existing
Bedrock Level ______ m
 Proposed
High Water ______ m
 Drilled Well
Level
 Dug Well
Date of Assessment:
 Surface Water
 Other: ____________________
Site Information
Fixture Unit Type Number Fixture Unit Value Total
Bathroom Group (3+ Fixtures) 6
2 Piece Powder Room 5.5
Clothes Washer 1.5
Laundry Sink 1.5
Kitchen Sink 1.5
Other
Total Fixture Units:
Total Number of Bedrooms (includes bunkies, lofts, etc.): ___________
Total Area of Living Space on Property (includes bunkies, lofts, etc.): ___________ m2
Daily Sewage Flow Calculation:
A. Base Flow from Number of Bedrooms: __________ L (max. 5)
B. Each Additional Fixture Unit over 20: _________ x50= ___________L
C. Additional Area of Living Space over 200m2:
i. Each 10m2 over 200m2 up to 400m2 : _________ x100 = __________ L
ii. Each 10m2 over 400m2 up to 600m2 : _________ x75 = __________ L
iii. Each 10m2 Greater Than 600m2 : _________ x50 = __________ L
D. Additional Bedrooms over 5: _________ x500 = __________ L
Total Daily Sewage Flow: (A + B, C, or D) = ____________L/day
Tank(s) Minimum Required Proposed
Septic Tank Size: Daily Sewage Flow ×2 or 3 = _____________L = __________L
Filter Bed
Filter Bed Area: <3000L/day Q÷75= ________ m2 Proposed ________ m2
>3000L/day Q÷50= ________ m2 Proposed ________ m2
No of Pods: ________ Arranged as ________ x ________ m2
Distribution Type: Pipe Chamber Type ________
Expanded Contact Area: QT÷850= ________ m2 Proposed ________ m 2
If Raised, Height above existing grade to bottom of stone layer: ________ m
OR
Conventional Trench
Daily Sewage Flow (Q) x T÷200 = ___________ m Proposed: ___________m
Request for Reduction: Type _______________ Q x T÷300 =__________m
Percolation Rate of Fill (if required): ________ min/cm
If Raised, Height above existing grade to bottom of stone layer: ___________m
Loading Rate Area = Daily Sewage Flow / Loading Rate Factor = ___________m2
TYPICAL DRAWING—FILTER BED
PLEASE COMPLETE THE BLANKS
PLAN VIEW
Is mantle required? Extended Filter Medium Area = QT/850
YES
Stone
NO
Effective Filter Area
Direction___________
H F
e _____m2 o __m __m
a o
Total Mantle d t
e e
r r
Area (m2)___________
Extended Filter Medium
Area (m2)___________
___m
___m
CROSS SECTION
B
MANTLE = 15m (min)
FINISHED GRADE
4 Geotextile or Paper
1
Sand Fill A 0.3m (min)
MANTLE
C
Filter Medium 0.75m (min)
Extended Base 0.25m (min)
250 mm (min)
Existing Grade 0.9m (min)
Water Table Bedrock Soil with T>50min/cm
A - Filter Bed Type (Circle One) Pipe Chamber
B - Proposed horizontal offset Distance between Runs _____ m
C - Proposed depth of Excavation to Water Table/Bedrock _____ m
PROPOSED DESIGN SITE PLAN
Indicate North Point and show the following required information:
1. Septic Tank & Leaching Bed 7. Existing Sewage Systems 13. Topographical Features
2. Pump Chamber 8. Driveways (Steep slopes, water course,
3. Loading Rate Area 9. Property Lines lake, swamps etc.)
4. 15 metre Mantle Area 10. Foundation Drain 14. Direction of Slope
5. Proposed/Existing Structures 11. Eavestrough Drain 15. Direction of Surface and
6. Water Supplies (incl. neighbours) 12. Surface water drainage Ground Water Flow
Owner/Installer/Designer Name Signature Date
Office Use Only
Approved: Yes No File #
Reviewed By:
Sewage System Inspector Signature Date
As Constructed Plans for On-Site Sewage System
*This form must be completed and submitted prior to calling for final inspection
Permit No: __________________ Installation Date: ______________________
As Constructed Plans prepared by: _________________________________________
1. Size of System based on _____ Bedrooms, and/or _____ Fixture Units
Area of Building: _________m2 Total Daily Design Flow: _____________Litres
2. Septic Tank/Holding Tank working capacity_____________ litres, constructed of
plastic/concrete/fiber glass.
3. Distribution Pipe:
Absorption Trench: _______ Filte",pdf,2026-04-24
